Date,Close,Open,High,Low,Volume,%Change
2017-11-22,6069.78,6039.09,6071.34,6038.74,6560000000.0,0.63
2017-11-23,6063.24,6081.42,6090.64,6056.12,6670000000.0,-0.11
2017-11-24,6067.14,6064.67,6069.85,6035.25,5700000000.0,0.06
2017-11-27,6064.59,6059.71,6072.49,6035.92,6080000000.0,-0.04
2017-11-28,6070.72,6055.1,6070.72,6015.91,6680000000.0,0.1
2017-11-29,6061.37,6066.43,6073.9,6045.34,6420000000.0,-0.15
2017-11-30,5952.14,6053.03,6058.6,5952.14,9500000000.0,-1.8
2017-12-04,5998.19,6014.06,6031.92,5994.35,6600000000.0,0.77
2017-12-05,6000.47,6021.09,6026.41,5979.48,6720000000.0,0.04
2017-12-06,6035.51,6002.54,6044.34,6001.09,5090000000.0,0.58
2017-12-07,6006.84,6032.05,6039.3,6006.84,5000000000.0,-0.48
2017-12-08,6030.96,6017.96,6041.13,6013.75,5340000000.0,0.4
2017-12-11,6026.63,6043.35,6052.52,6024.04,5740000000.0,-0.07
2017-12-12,6032.37,6038.43,6042.0,6012.98,5460000000.0,0.1
2017-12-13,6054.6,6027.44,6054.6,6020.11,5590000000.0,0.37
2017-12-14,6113.65,6065.31,6117.13,6061.09,6720000000.0,0.98
2017-12-15,6119.42,6098.84,6119.42,6075.89,5640000000.0,0.09
2017-12-18,6133.96,6111.68,6133.96,6080.15,5140000000.0,0.24
2017-12-19,6167.67,6113.09,6176.45,6110.28,5660000000.0,0.55
2017-12-20,6109.48,6165.6,6167.43,6088.56,5910000000.0,-0.94
2017-12-21,6183.39,6129.53,6183.39,6126.79,5230000000.0,1.21
2017-12-22,6221.01,6181.86,6221.01,6167.04,4510000000.0,0.61
2017-12-27,6277.16,6214.26,6277.16,6214.26,4470000000.0,0.9
2017-12-28,6314.05,6282.44,6314.05,6259.61,5900000000.0,0.59
2017-12-29,6355.65,6325.62,6368.32,6321.09,6600000000.0,0.66
2018-01-02,6339.24,6366.08,6445.91,6326.09,5220000000.0,-0.26
2018-01-03,6251.48,6341.27,6342.19,6220.69,4890000000.0,-1.38
2018-01-04,6292.32,6257.72,6292.32,6233.94,5790000000.0,0.65
2018-01-05,6353.74,6279.46,6353.74,6278.72,7420000000.0,0.98
2018-01-08,6385.4,6354.36,6385.4,6349.04,6670000000.0,0.5
2018-01-09,6373.14,6393.87,6402.74,6351.23,6690000000.0,-0.19
2018-01-10,6371.17,6380.92,6412.03,6355.22,7010000000.0,-0.03
2018-01-11,6386.34,6375.03,6386.34,6344.04,11730000000.0,0.24
2018-01-12,6370.06,6391.47,6409.18,6359.83,8900000000.0,-0.25
2018-01-15,6382.19,6379.07,6390.89,6361.61,7350000000.0,0.19
2018-01-16,6429.69,6386.22,6429.69,6381.31,8199999999.999999,0.74
2018-01-17,6444.52,6429.77,6452.51,6420.06,8690000000.0,0.23
2018-01-18,6472.67,6456.9,6483.27,6452.05,11170000000.0,0.44
2018-01-19,6490.9,6483.83,6490.9,6443.01,7020000000.0,0.28
2018-01-22,6500.53,6495.38,6529.2,6484.12,8780000000.0,0.15
2018-01-23,6635.33,6538.01,6635.33,6537.08,8529999999.999999,2.07
2018-01-24,6615.49,6635.76,6641.17,6588.62,11600000000.0,-0.3
2018-01-25,6615.33,6629.37,6636.59,6581.67,12200000000.0,0.0
2018-01-26,6660.62,6616.13,6677.37,6615.87,10250000000.0,0.68
2018-01-29,6680.62,6672.99,6686.35,6634.89,9930000000.0,0.3
2018-01-30,6575.49,6666.83,6675.76,6546.65,10000000000.0,-1.57
2018-01-31,6605.63,6547.99,6627.84,6522.66,11380000000.0,0.46
2018-02-01,6598.46,6625.35,6658.88,6598.46,11970000000.0,-0.11
2018-02-02,6628.82,6638.16,6655.61,6621.44,8810000000.0,0.46
2018-02-05,6589.68,6556.68,6612.45,6522.55,9750000000.0,-0.59
